Component 1,Component 2,Component 3,Component 4,Component 5,Cluster,country,iso_a3
0.13564428669116718,0.5100964023254362,0.1975336335711609,0.11496384874959234,0.05287086782822946,3,Afghanistan,AFG
0.7121718461597066,-0.0639249520862174,-0.10879151773796647,0.1327428976544846,0.08409152770175338,0,Africa Eastern and Southern,not found
0.9911927223167926,0.0857004735746866,-0.09835958665899039,-0.06514211468493988,-0.04176696818267275,0,Africa Western and Central,not found
-0.21687761610042822,-0.016092544511172924,-0.020582140277088483,0.25200195383926227,0.017514772538439274,2,Albania,ALB
-0.2850772971714083,0.5228966667244155,0.14642944339471448,0.15294275850824646,-0.10199565156352945,3,Algeria,DZA
-0.3281469070319186,-0.4012110351994333,0.33474791122361813,-0.21209456102502328,0.12369128841163164,1,American Samoa,ASM
-0.46116850248294977,-0.14337769378734264,-0.13208999450898806,0.34529960746618554,-0.05615099835584489,2,Andorra,AND
0.4139733813500049,-0.29984420644232374,0.3156000856049575,0.2231607701616664,0.019522341423440073,1,Angola,AGO
-0.005787122702687023,0.011834636892058922,-0.0013676492668297333,0.0009059960407122949,0.021824814532613014,1,Anguilla,AIA
-0.3931870213905083,0.12661057943687642,0.01650196534976129,-0.17202270008274828,-0.08948880344328665,2,Antigua and Barbuda,ATG
-0.1520636999789786,0.5620176943066787,0.14166202570204117,-0.004639413374877755,-0.02436307499975711,3,Arab World,not found
-0.28600437232111375,0.032931896624346584,-0.027920149471159093,0.28241025008520987,-0.17148571196354218,2,Argentina,ARG
-0.21869028087048809,0.2145107018538225,-0.021392067501881835,0.04577259700264176,0.13714747685284656,3,Armenia,ARM
-0.26033895826933934,0.5362209732739258,0.26973965827041896,0.14173780806680422,-0.19421145404597767,3,Aruba,ABW
-0.4907622208554137,-0.048673569054563215,-0.2961329957825528,0.040580980302328463,-0.14933497862568954,2,Australia,AUS
-0.3757368225838069,-0.2713827604497035,-0.2023793200112107,0.23152987865751742,0.034432753796286346,2,Austria,AUT
-0.25358074574418477,0.09864292098097818,-0.13329667193924336,-0.1921831291494224,0.15293737821679795,2,Azerbaijan,AZE
-0.2085214931201991,-0.20435931398707757,0.2171977140164978,-0.21152706749222713,-0.011606632127436504,1,"Bahamas, The",BHS
-0.6006396570216127,0.266754880127136,-0.36694208802180256,-0.2529480777775717,-0.23395575374760166,2,Bahrain,BHR
0.1429626924627224,0.3049511309642416,-0.10479134261635038,-0.10053333660385062,0.02593406977224789,3,Bangladesh,BGD
-0.3035259674387925,0.15120625804167562,-0.07575819260250355,-0.06341238253276625,0.0891969100388613,2,Barbados,BRB
-0.4894171033480989,-0.15640216649247432,-0.1669942188453498,0.15209271681702746,0.30739742820642557,2,Belarus,BLR
-0.5657468598314153,0.012436067788083786,-0.26434855724565814,0.2610685151191432,0.1071074536935591,2,Belgium,BEL
0.010302998797081794,-0.20270880967440674,0.2789871713606222,-0.14160137381215873,-0.04251748566699508,1,Belize,BLZ
0.6447852896315489,0.11633388590978622,-0.05739733885980496,-0.3500087619752432,0.16498339054435968,0,Benin,BEN
-0.37515688842505945,0.17085894926725073,-0.0889370130392962,-0.17030894424630846,-0.038969608494904266,2,Bermuda,BMU
0.6206822665058497,-0.5051399350726715,0.054258094534731315,-0.14288258187694586,-0.09950408004227361,0,Bhutan,BTN
-0.249434845485496,-0.3879072218228233,-0.03706178785886725,0.33711027338567146,0.21818445370429035,1,Bolivia,BOL
-0.07472302453555683,-0.02370781870302074,0.287154232161791,0.1671139343303925,-0.19693827869288932,1,Bosnia and Herzegovina,BIH
0.06018611619716544,0.1618946765492016,0.3724499861270153,0.10504317654984084,0.22036165165448787,3,Botswana,BWA
0.1377346582365195,-0.42538815579235895,0.35734213210485644,0.03178154105121976,-0.33502444009002613,1,Brazil,BRA
-0.3880881957422419,0.07292828083806518,-0.0727839436043814,-0.1170347572265909,0.07188166054610785,2,British Virgin Islands,VGB
-0.36131529816675195,-0.2956464518391761,0.1851045104122343,-0.35506154504229687,-0.029544966142206624,1,Brunei Darussalam,BRN
-0.1863489175788106,-0.1341001280390126,-0.023936688088430375,-0.038686521479153455,-0.0785297225490706,1,Bulgaria,BGR
1.0523647784547878,0.20159622534553712,-0.12391643717633129,-0.09268708104590118,0.04112047618486965,0,Burkina Faso,BFA
0.9616553983065752,-0.16760170582423797,-0.4476481869415136,0.2054591991411518,-0.015364937665164472,0,Burundi,BDI
-0.08007458617276865,0.24953284667899156,0.0003053020178314639,0.09881203538134625,0.08794502885937976,3,Cabo Verde,CPV
0.3166681700040777,-0.35635918106212905,-0.1273639663639005,-0.17289700421021528,-0.036815759994630735,1,Cambodia,KHM
0.9736095288157084,-0.24766791400725788,-0.1660518505826298,0.08325424560061795,0.008665744553019805,0,Cameroon,CMR
-0.46526620803314955,-0.1905631083158141,-0.22234147212462782,0.05403884761745675,-0.066656959796194,2,Canada,CAN
-0.321287332805397,-0.45899615788554493,0.2897667629316731,-0.10694815712748944,0.1501825026700808,1,Caribbean small states,not found
-0.463665854989946,-0.22513793264646256,0.09131935479179303,-0.09441666085541259,-0.11940621720982936,2,Cayman Islands,CYM
1.186914484026225,-0.11149387430782338,0.03575948371190301,-0.14196366972647956,-0.09732774977638332,0,Central African Republic,CAF
-0.37712483174339634,-0.0685243378930041,-0.10883042058525169,-0.03415115462275325,0.056903952110230874,2,Central Europe and the Baltics,not found
0.9735653224593345,0.2504982189886382,-0.16931459445874206,-0.14215319563777717,0.04201037625085442,0,Chad,TCD
