IDENTIFICACION,IDENTIFICACION TAXONOMICA,NOMBRE CIENTIFICO,CLASIFICACION SUPERIOR,REINO,FILO,CLASE,ORDEN,FAMILIA,GENERO,EPITETO ESPECIFICO,RANGO DE TAXON,NOMBRE VERNACULO,CODIGO NOMENCLATURA,ESTADO TAXONOMICO,TAXON OBSERVACIONES,LENGUAJE,ESTADO DE AMENAZA,MCA1,MCA2,MCA3,Cluster
gbif.org/species/3548724,gbif.org/species/3548724,Arthonia obscurella,Fungi | Ascomycota | Arthoniomycetes | Arthoniales | Arthoniaceae | Arthonia,Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae,Arthonia,obscurella,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Arthonia obscurella | Nuevo taxón incluido,es,CR,4.377573983212528,1.8926569569503382,1.240007963707073,2
gbif.org/species/3548779,gbif.org/species/3548779,Arthonia septemlocularis,Fungi | Ascomycota | Arthoniomycetes | Arthoniales | Arthoniaceae | Arthonia,Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae,Arthonia,septemlocularis,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Arthonia septemlocularis | Nuevo taxón incluido,es,CR,4.377573983212528,1.8926569569503382,1.240007963707073,2
gbif.org/species/10800176,gbif.org/species/10800176,Ancistrosporella leucophila,Fungi | Ascomycota | Arthoniomycetes | Arthoniales | Roccellaceae | Ancistrosporella,Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Ancistrosporella,leucophila,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Ancistrosporella leucophila | Nuevo taxón incluido,es,CR,4.377545680424808,1.8926789260419374,1.2394694214001025,2
gbif.org/species/10874088,gbif.org/species/10874088,Byssoloma permutans,Fungi | Ascomycota | Arthoniomycetes | Arthoniales | Roccellaceae | Byssoloma,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Byssolomataceae,Byssoloma,permutans,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Byssoloma permutans | Nuevo taxón incluido,es,CR,4.353702218467092,1.8047948300350576,1.0278770784169948,2
gbif.org/species/5516240,gbif.org/species/5516240,Lecanactis proximans,Fungi | Ascomycota | Arthoniomycetes | Arthoniales | Roccellaceae | Lecanactis,Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Lecanactis,proximans,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Lecanactis proximans | Nuevo taxón incluido,es,CR,4.3775456400176465,1.892678818104206,1.2394695753458502,2
gbif.org/species/8654330,gbif.org/species/8654330,Schismatomma leucopsarum,Fungi | Ascomycota | Arthoniomycetes | Arthoniales | Roccellaceae | Schismatomma,Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Roccellaceae,Schismatomma,leucopsarum,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Schismatomma leucopsarum | Nuevo taxón incluido,es,CR,4.377545687627987,1.8926788978827254,1.2394698135420454,2
gbif.org/species/10706304,gbif.org/species/10706304,Bogoriella apposita,Fungi | Ascomycota | Dothideomycetes | Trypetheliales | Trypetheliaceae | Bogoriella,Fungi,Ascomycota,Dothideomycetes,Trypetheliales,Trypetheliaceae,Bogoriella,apposita,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Bogoriella apposita | Nuevo taxón incluido,es,VU,4.2105303971653125,2.1176769333722287,0.9736056684140728,2
gbif.org/species/3396450,gbif.org/species/3396450,Bacidia proposita,Fungi | Ascomycota | Lecanoromycetes | Lecanorales | Ramalinaceae | Bacidia,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae,Bacidia,proposita,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Bacidia proposita | Nuevo taxón incluido,es,CR,4.353641822673693,1.8050342339909407,1.0274293195572273,2
gbif.org/species/8394955,gbif.org/species/8394955,Badimia vezdana,Fungi | Ascomycota | Lecanoromycetes | Lecanorales | Ramalinaceae | Badimia,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae,Badimia,vezdana,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Badimia vezdana | Nuevo taxón incluido,es,CR,4.3536417661501,1.8050341646824448,1.0274290241309691,2
gbif.org/species/3395819,gbif.org/species/3395819,Ramalina bogotensis,Fungi | Ascomycota | Lecanoromycetes | Lecanorales | Ramalinaceae | Ramalina,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae,Ramalina,bogotensis,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Ramalina bogotensis | Nuevo taxón incluido,es,CR,4.353641800870532,1.805034200324709,1.02742900875455,2
gbif.org/species/3395240,gbif.org/species/3395240,Ramalina protensa,Fungi | Ascomycota | Lecanoromycetes | Lecanorales | Ramalinaceae | Ramalina,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae,Ramalina,protensa,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Ramalina protensa | Nuevo taxón incluido,es,CR,4.353641800870532,1.805034200324709,1.02742900875455,2
gbif.org/species/7490376,gbif.org/species/7490376,Gyalideopsis chicaque,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Gomphillaceae | Gyalideopsis,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Gomphillaceae,Gyalideopsis,chicaque,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Gyalideopsis chicaque | Nuevo taxón incluido,es,CR,4.346346882430346,1.8092869322275242,0.9974302536159498,2
gbif.org/species/10673444,gbif.org/species/10673444,Fissurina linoana,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Graphidacea | Fissurina,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Fissurina,linoana,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Fissurina linoana | Nuevo taxón incluido,es,CR,4.3409321838116135,1.8080397029176003,0.99287178369441,2
colfungi.org/taxon/urn:lsid:indexfungorum.org:names:829817,colfungi.org/taxon/urn:lsid:indexfungorum.org:names:829817,Graphis amaliana,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Graphidacea | Graphis,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Graphis,amaliana,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Graphis amaliana | Nuevo taxón incluido,es,EN,4.247777116680666,1.787142714201357,0.9391256854617512,2
colfungi.org/taxon/urn:lsid:indexfungorum.org:names:829818,colfungi.org/taxon/urn:lsid:indexfungorum.org:names:829818,Graphis carmenelisana,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Graphidacea | Graphis,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Graphis,carmenelisana,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Graphis carmenelisana | Nuevo taxón incluido,es,CR,4.33656636900118,1.807054143043624,0.9897170540793839,2
colfungi.org/taxon/urn:lsid:indexfungorum.org:names:829819,colfungi.org/taxon/urn:lsid:indexfungorum.org:names:829819,Graphis kavintuca,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Graphidacea | Graphis,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Graphis,kavintuca,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Graphis kavintuca | Nuevo taxón incluido,es,EN,4.247777116680666,1.787142714201357,0.9391256854617512,2
colfungi.org/taxon/urn:lsid:indexfungorum.org:names:828115,colfungi.org/taxon/urn:lsid:indexfungorum.org:names:828115,Graphis lurizana,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Graphidacea | Graphis,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Graphis,lurizana,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Graphis lurizana | Nuevo taxón incluido,es,CR,4.33656636900118,1.807054143043624,0.9897170540793839,2
colfungi.org/taxon/urn:lsid:indexfungorum.org:names:828116,colfungi.org/taxon/urn:lsid:indexfungorum.org:names:828116,Graphis mokanarum,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Graphidacea | Graphis,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Graphis,mokanarum,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Graphis mokanarum | Nuevo taxón incluido,es,CR,4.33656636900118,1.807054143043624,0.9897170540793839,2
gbif.org/species/2602041,gbif.org/species/2602041,Graphis rosalbiana,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Graphidacea | Graphis,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Graphis,rosalbiana,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Graphis rosalbiana | Nuevo taxón incluido,es,CR,4.33656636900118,1.807054143043624,0.9897170540793839,2
colfungi.org/taxon/urn:lsid:indexfungorum.org:names:829821,colfungi.org/taxon/urn:lsid:indexfungorum.org:names:829821,Graphis santanderiana,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Graphidacea | Graphis,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Graphis,santanderiana,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Graphis santanderiana | Nuevo taxón incluido,es,CR,4.33656636900118,1.807054143043624,0.9897170540793839,2
colfungi.org/taxon/urn:lsid:indexfungorum.org:names:829822,colfungi.org/taxon/urn:lsid:indexfungorum.org:names:829822,Graphis solmariana,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Graphidacea | Graphis,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Graphis,solmariana,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Graphis solmariana | Nuevo taxón incluido,es,CR,4.33656636900118,1.807054143043624,0.9897170540793839,2
gbif.org/species/5261046,gbif.org/species/5261046,Myriotrema fragile,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Graphidacea | Myriotrema,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Myriotrema,fragile,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Myriotrema fragile | Nuevo taxón incluido,es,CR,4.34093218467522,1.8080397076211294,0.9928717445509057,2
gbif.org/species/2602670,gbif.org/species/2602670,Ocellularia auberianoides,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Graphidacea | Ocellularia,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Ocellularia,auberianoides,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Ocellularia auberianoides | Nuevo taxón incluido,es,EN,4.24341130083907,1.7861571691721252,0.9359708480583006,2
gbif.org/species/2603136,gbif.org/species/2603136,Ocellularia percolumellata,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Graphidacea | Ocellularia,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Ocellularia,percolumellata,Especie,Desconocido,ICN,Sinónimo,Nombre original validado: Ocellularia percolumellata | Nuevo taxón incluido,es,EN,4.24341130083907,1.7861571691721252,0.9359708480583006,2
gbif.org/species/10781635,gbif.org/species/10781635,Ocellularia umbilicatoides,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Graphidacea | Ocellularia,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Ocellularia,umbilicatoides,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Ocellularia umbilicatoides | Nuevo taxón incluido,es,CR,4.332200553159584,1.8060685980143922,0.9865622166759332,2
gbif.org/species/10673211,gbif.org/species/10673211,Ocellularia usnicolor,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Graphidacea | Ocellularia,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Ocellularia,usnicolor,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Ocellularia usnicolor | Nuevo taxón incluido,es,CR,4.332200553159584,1.8060685980143922,0.9865622166759332,2
gbif.org/species/166184462,gbif.org/species/166184462,Phaeographina cabbalistica,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Graphidacea | Phaeographina,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Phaeographina,cabbalistica,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Phaeographina cabbalistica,es,CR,4.340932208466291,1.8080397559785448,0.9928719801350622,2
gbif.org/species/10677261,gbif.org/species/10677261,Phaeographis dividens,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Graphidacea | Phaeographis,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Phaeographis,dividens,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Phaeographis dividens | Nuevo taxón incluido,es,CR,4.340932183729898,1.8080396416181979,0.9928717499977208,2
gbif.org/species/10848900,gbif.org/species/10848900,Phaeographis galeanoae,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Graphidacea | Phaeographis,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Phaeographis,galeanoae,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Phaeographis galeanoae | Nuevo taxón incluido,es,CR,4.340932183729898,1.8080396416181979,0.9928717499977208,2
gbif.org/species/3418619,gbif.org/species/3418619,Phaeographis leucocheila,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Graphidacea | Phaeographis,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Phaeographis,leucocheila,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Phaeographis leucocheila | Nuevo taxón incluido,es,CR,4.340932183729898,1.8080396416181979,0.9928717499977208,2
gbif.org/species/3415868,gbif.org/species/3415868,Platythecium serpentinellum,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Graphidacea | Platythecium,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Platythecium,serpentinellum,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Platythecium serpentinellum | Nuevo taxón incluido,es,CR,4.340932170623491,1.8080396576656275,0.9928719441278393,2
gbif.org/species/2602604,gbif.org/species/2602604,Redingeria glyphica,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Graphidacea | Redingeria,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Redingeria,glyphica,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Redingeria glyphica | Nuevo taxón incluido,es,CR,4.3409322081600346,1.808039735343259,0.9928715926085988,2
gbif.org/species/3415915,gbif.org/species/3415915,Thalloloma haemographum,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Graphidacea | Thalloloma,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Thalloloma,haemographum,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Thalloloma haemographum | Nuevo taxón incluido,es,CR,4.340932206864195,1.808039646021935,0.992871548499155,2
gbif.org/species/2601727,gbif.org/species/2601727,Thelotrema conveniens,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Graphidacea | Thelotrema,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Thelotrema,conveniens,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Thelotrema conveniens | Nuevo taxón incluido,es,EN,4.246321848367481,1.786814211929882,0.9380740354220951,2
gbif.org/species/166184541,gbif.org/species/166184541,Thelotrema leucocarpoides,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Graphidacea | Thelotrema,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Thelotrema,leucocarpoides,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Thelotrema leucocarpoides,es,CR,4.335111100687995,1.806725640772149,0.9886654040397278,2
gbif.org/species/166184572,gbif.org/species/166184572,Thelotrema sphinctrinellum,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Graphidacea | Thelotrema,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Thelotrema,sphinctrinellum,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Thelotrema sphinctrinellum | Nuevo taxón incluido,es,CR,4.335111100687995,1.806725640772149,0.9886654040397278,2
gbif.org/species/10784692,gbif.org/species/10784692,Aspidothelium silverstonei,Fungi | Ascomycota | Lecanoromycetes | Ostropales | Thelenellaceae | Aspidothelium,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Thelenellaceae,Aspidothelium,silverstonei,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Aspidothelium silverstonei | Nuevo taxón incluido,es,CR,4.34633552259025,1.8093422422028178,0.9971388812031916,2
gbif.org/species/2600937,gbif.org/species/2600937,Leptogium inversum,Fungi | Ascomycota | Lecanoromycetes | Peltigerales | Collemataceae | Leptogium,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Collemataceae,Leptogium,inversum,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Leptogium inversum | Nuevo taxón incluido,es,VU,4.159463606447054,1.8288268945518018,0.9723481093136929,2
gbif.org/species/9808160,gbif.org/species/9808160,Lobariella angustata,Fungi | Ascomycota | Lecanoromycetes | Peltigerales | Peltigeraceae | Lobariella,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,Lobariella,angustata,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Lobariella angustata | Nuevo taxón incluido,es,VU,4.177264827541079,1.8230740415202866,0.9620810639166221,2
gbif.org/species/9708115,gbif.org/species/9708115,Lobariella ecorticata,Fungi | Ascomycota | Lecanoromycetes | Peltigerales | Peltigeraceae | Lobariella,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,Lobariella,ecorticata,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Lobariella ecorticata | Nuevo taxón incluido,es,CR,4.2887406118436395,1.8166695505363526,0.9680693056407013,2
gbif.org/species/9646853,gbif.org/species/9646853,Lobariella flavomedullosa,Fungi | Ascomycota | Lecanoromycetes | Peltigerales | Peltigeraceae | Lobariella,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,Lobariella,flavomedullosa,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Lobariella flavomedullosa | Nuevo taxón incluido,es,VU,4.177264827541079,1.8230740415202866,0.9620810639166221,2
gbif.org/species/9681125,gbif.org/species/9681125,Lobariella parmelioides,Fungi | Ascomycota | Lecanoromycetes | Peltigerales | Peltigeraceae | Lobariella,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,Lobariella,parmelioides,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Lobariella parmelioides | Nuevo taxón incluido,es,EN,4.1999513595231255,1.7967581216940856,0.9174779370230686,2
gbif.org/species/9724173,gbif.org/species/9724173,Lobariella pseudocrenulata,Fungi | Ascomycota | Lecanoromycetes | Peltigerales | Peltigeraceae | Lobariella,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,Lobariella,pseudocrenulata,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Lobariella pseudocrenulata | Nuevo taxón incluido,es,EN,4.1999513595231255,1.7967581216940856,0.9174779370230686,2
gbif.org/species/9720008,gbif.org/species/9720008,Lobariella reticulata,Fungi | Ascomycota | Lecanoromycetes | Peltigerales | Peltigeraceae | Lobariella,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,Lobariella,reticulata,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Lobariella reticulata | Nuevo taxón incluido,es,EN,4.1999513595231255,1.7967581216940856,0.9174779370230686,2
gbif.org/species/5477276,gbif.org/species/5477276,Sticta peltigerella,Fungi | Ascomycota | Lecanoromycetes | Peltigerales | Peltigeraceae | Sticta,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,Sticta,peltigerella,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Sticta peltigerella | Nuevo taxón incluido,es,VU,4.182342886805199,1.825271001806689,0.9681390363315082,2
gbif.org/species/10895412,gbif.org/species/10895412,Sticta rubropruinosa,Fungi | Ascomycota | Lecanoromycetes | Peltigerales | Peltigeraceae | Sticta,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,Sticta,rubropruinosa,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Sticta rubropruinosa | Nuevo taxón incluido,es,CR,4.293818671107759,1.818866510822755,0.9741272780555874,2
gbif.org/species/10870093,gbif.org/species/10870093,Sticta silverstonii,Fungi | Ascomycota | Lecanoromycetes | Peltigerales | Peltigeraceae | Sticta,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,Sticta,silverstonii,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Sticta silverstonii | Nuevo taxón incluido,es,CR,4.293818671107759,1.818866510822755,0.9741272780555874,2
gbif.org/species/9819597,gbif.org/species/9819597,Sticta tunjensis,Fungi | Ascomycota | Lecanoromycetes | Peltigerales | Peltigeraceae | Sticta,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,Sticta,tunjensis,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Sticta tunjensis | Nuevo taxón incluido,es,VU,4.182342886805199,1.825271001806689,0.9681390363315082,2
gbif.org/species/3411678,gbif.org/species/3411678,Pertusaria confundens,Fungi | Ascomycota | Lecanoromycetes | Pertusariales | Pertusariaceae | Pertusaria,Fungi,Ascomycota,Lecanoromycetes,Pertusariales,Pertusariaceae,Pertusaria,confundens,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Pertusaria confundens | Nuevo taxón incluido,es,EN,4.22276412745807,1.7826663470937176,0.9501763849653991,2
gbif.org/species/3411526,gbif.org/species/3411526,Pertusaria thelocarpoides,Fungi | Ascomycota | Lecanoromycetes | Pertusariales | Pertusariaceae | Pertusaria,Fungi,Ascomycota,Lecanoromycetes,Pertusariales,Pertusariaceae,Pertusaria,thelocarpoides,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Pertusaria thelocarpoides | Nuevo taxón incluido,es,CR,4.311553379778584,1.8025777759359847,1.000767753583032,2
gbif.org/species/3430578,gbif.org/species/3430578,Caloplaca conjungens,Fungi | Ascomycota | Lecanoromycetes | Teloschistales | Teloschistaceae | Caloplaca,Fungi,Ascomycota,Lecanoromycetes,Teloschistales,Teloschistaceae,Caloplaca,conjungens,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Caloplaca conjungens | Nuevo taxón incluido,es,CR,4.361014371573082,1.8337214451012442,0.9964875075010139,2
gbif.org/species/9714506,gbif.org/species/9714506,Cora accipiter,Fungi | Basidiomycota | Agaricomycetes | Agaricales | Hygrophoraceae | Cora,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,accipiter,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Cora accipiter | Nuevo taxón incluido,es,EN,4.178391571314154,1.7502670643437988,-1.8747388144036465,5
gbif.org/species/9747529,gbif.org/species/9747529,Cora arachnodavidea,Fungi | Basidiomycota | Agaricomycetes | Agaricales | Hygrophoraceae | Cora,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,arachnodavidea,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Cora arachnodavidea | Nuevo taxón incluido,es,EN,4.178391571314154,1.7502670643437988,-1.8747388144036465,5
gbif.org/species/9798248,gbif.org/species/9798248,Cora arcabucana,Fungi | Basidiomycota | Agaricomycetes | Agaricales | Hygrophoraceae | Cora,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,arcabucana,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Cora arcabucana | Nuevo taxón incluido,es,CR,4.267180823634668,1.7701784931860658,-1.8241474457860138,5
gbif.org/species/9755425,gbif.org/species/9755425,Cora aturucoa,Fungi | Basidiomycota | Agaricomycetes | Agaricales | Hygrophoraceae | Cora,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,aturucoa,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Cora aturucoa | Nuevo taxón incluido,es,CR,4.267180823634668,1.7701784931860658,-1.8241474457860138,5
gbif.org/species/9715924,gbif.org/species/9715924,Cora barbifera,Fungi | Basidiomycota | Agaricomycetes | Agaricales | Hygrophoraceae | Cora,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,barbifera,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Cora barbifera | Nuevo taxón incluido,es,CR,4.267180823634668,1.7701784931860658,-1.8241474457860138,5
gbif.org/species/8226242,gbif.org/species/8226242,Cora byssoidea,Fungi | Basidiomycota | Agaricomycetes | Agaricales | Hygrophoraceae | Cora,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,byssoidea,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Cora byssoidea | Nuevo taxón incluido,es,CR,4.267180823634668,1.7701784931860658,-1.8241474457860138,5
gbif.org/species/8382898,gbif.org/species/8382898,Cora casanarensis,Fungi | Basidiomycota | Agaricomycetes | Agaricales | Hygrophoraceae | Cora,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,casanarensis,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Cora casanarensis | Nuevo taxón incluido,es,VU,4.1557050393321076,1.7765829841699998,-1.8301356875100931,5
gbif.org/species/9647299,gbif.org/species/9647299,Cora corelleslia,Fungi | Basidiomycota | Agaricomycetes | Agaricales | Hygrophoraceae | Cora,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,corelleslia,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Cora corelleslia | Nuevo taxón incluido,es,EN,4.178391571314154,1.7502670643437988,-1.8747388144036465,5
gbif.org/species/9750769,gbif.org/species/9750769,Cora davibogotana,Fungi | Basidiomycota | Agaricomycetes | Agaricales | Hygrophoraceae | Cora,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,davibogotana,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Cora davibogotana | Nuevo taxón incluido,es,EN,4.178391571314154,1.7502670643437988,-1.8747388144036465,5
gbif.org/species/9791942,gbif.org/species/9791942,Cora davicrinita,Fungi | Basidiomycota | Agaricomycetes | Agaricales | Hygrophoraceae | Cora,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,davicrinita,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Cora davicrinita | Nuevo taxón incluido,es,VU,4.1557050393321076,1.7765829841699998,-1.8301356875100931,5
gbif.org/species/9765776,gbif.org/species/9765776,Cora davidia,Fungi | Basidiomycota | Agaricomycetes | Agaricales | Hygrophoraceae | Cora,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,davidia,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Cora davidia | Nuevo taxón incluido,es,VU,4.1557050393321076,1.7765829841699998,-1.8301356875100931,5
gbif.org/species/8073680,gbif.org/species/8073680,Cora fimbriata,Fungi | Basidiomycota | Agaricomycetes | Agaricales | Hygrophoraceae | Cora,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,fimbriata,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Cora fimbriata | Nuevo taxón incluido,es,EN,4.178391571314154,1.7502670643437988,-1.8747388144036465,5
gbif.org/species/9673507,gbif.org/species/9673507,Cora gigantea,Fungi | Basidiomycota | Agaricomycetes | Agaricales | Hygrophoraceae | Cora,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,gigantea,Especie,Desconocido,ICN,Aceptado,Nombre original validado: Cora gigantea | Nuevo taxón incluido,es,EN,4.178391571314154,1.7502670643437988,-1.8747388144036465,5
